AD_ID,feature
196245546,ABS
196245546,Air Conditioning
196245546,Airbags
196245546,Alarm/Anti-Theft System
196245546,AM/FM Radio
196245546,Aux Audio In
196245546,Bluetooth System
196245546,Cruise Control
196245546,EBD
196245546,Fog Lights
196245546,Keyless Start
196245546,Leather Seats
196245546,Navigation System
196245546,Off-Road Tyres
196245546,Parking Sensors
196245546,Power Locks
196245546,Power Mirrors
196245546,Power Seats
196245546,Power Steering
196245546,Power Windows
196245546,Premium Wheels/Rims
196245546,Rear View Camera
196245546,Roof Rack
196245546,Sunroof
196245546,Touch Screen
196245546,USB Charger
196078651,ABS
196078651,Air Conditioning
196078651,Airbags
196078651,Alarm/Anti-Theft System
196078651,AM/FM Radio
196078651,Aux Audio In
196078651,Bluetooth System
196078651,Cruise Control
196078651,EBD
196078651,Fog Lights
196078651,Keyless Start
196078651,Leather Seats
196078651,Navigation System
196078651,Off-Road Tyres
196078651,Parking Sensors
196078651,Power Locks
196078651,Power Mirrors
196078651,Power Seats
196078651,Power Steering
196078651,Power Windows
196078651,Premium Wheels/Rims
196078651,Rear View Camera
196078651,Roof Rack
196078651,Sunroof
196078651,Touch Screen
196078651,USB Charger
195067997,ABS
195067997,Air Conditioning
195067997,Airbags
195067997,Bluetooth System
195067997,Cruise Control
195067997,EBD
195067997,Keyless Start
195067997,Leather Seats
195067997,Parking Sensors
195067997,Power Steering
195067997,Premium Wheels/Rims
195067997,Sunroof
195067997,Touch Screen
196460477,ABS
196460477,Air Conditioning
196460477,Airbags
196460477,AM/FM Radio
196460477,Bluetooth System
196460477,Parking Sensors
196460477,Power Locks
196460477,Power Mirrors
196460477,Power Steering
196460477,Power Windows
196460477,Premium Wheels/Rims
196328531,ABS
196328531,Air Conditioning
196328531,Airbags
196328531,Alarm/Anti-Theft System
196328531,AM/FM Radio
196328531,Aux Audio In
196328531,Bluetooth System
196328531,Cruise Control
196328531,EBD
196328531,Fog Lights
196328531,Keyless Start
196328531,Leather Seats
196328531,Navigation System
196328531,Off-Road Tyres
196328531,Parking Sensors
196328531,Power Locks
196328531,Power Mirrors
196328531,Power Seats
196328531,Power Steering
196328531,Power Windows
196328531,Premium Wheels/Rims
196328531,Rear View Camera
196328531,Roof Rack
196328531,Sunroof
196328531,Touch Screen
196328531,USB Charger
196551465,ABS
196551465,Air Conditioning
196551465,Airbags
196551465,Alarm/Anti-Theft System
196551465,AM/FM Radio
196551465,Aux Audio In
196551465,Bluetooth System
196551465,Cruise Control
196551465,EBD
196551465,Fog Lights
196551465,Keyless Start
196551465,Leather Seats
196551465,Navigation System
196551465,Off-Road Tyres
196551465,Parking Sensors
196551465,Power Locks
196551465,Power Mirrors
196551465,Power Seats
196551465,Power Steering
196551465,Power Windows
196551465,Premium Wheels/Rims
196551465,Rear View Camera
196551465,Roof Rack
196551465,Sunroof
196551465,Touch Screen
196551465,USB Charger
185198700,ABS
185198700,Air Conditioning
185198700,Airbags
185198700,Alarm/Anti-Theft System
185198700,AM/FM Radio
185198700,Aux Audio In
185198700,Bluetooth System
185198700,Cruise Control
185198700,EBD
185198700,Fog Lights
185198700,Keyless Start
185198700,Leather Seats
185198700,Off-Road Tyres
185198700,Parking Sensors
185198700,Power Locks
185198700,Power Mirrors
185198700,Power Seats
185198700,Power Steering
185198700,Power Windows
185198700,Premium Wheels/Rims
